species,maxheight,seedmass,SLA,WD
?Muehlenbeckia gracillima,NA,NA,NA,NA
Abrophyllum ornans,8,0.05,11.06,0.601603758
Acacia boormanii,4,13.26,NA,0.503041879
Acacia dealbata subsp. dealbata,30,12.54,16.24,0.47583155
Acacia falciformis,10,42.8,6.04,0.724
Acacia fimbriata,6,17,5.12,NA
Acacia floribunda,8,7.08,9.88,0.680824363
Acacia implexa,12,20.33,7.78,0.638879167
Acacia irrorata subsp. irrorata,12,11.4,10.05,0.419941579
Acacia leiocalyx subsp. leiocalyx,6,10.71,9.86,0.569275537
Acacia maidenii,20,13.1,8.96,0.62
Acacia mearnsii,10,13.2,9.74,0.652112524
Acacia melanoxylon,30,14.62,8.33,0.476657708
Acacia pravissima,8,8.4,9.34,NA
Acaena novae-zelandiae,0.3,1.61,17.7,NA
Acetosella vulgaris,0.5,0.7,17.5,NA
Acmena smithii,5,81.02,11.77,0.714651867
Acronychia oblongifolia,27,5.88,13.48,0.81
Adiantum aethiopicum,0.5,NA,61.42,NA
Adiantum hispidulum,0.7,NA,25.96,NA
Alectryon subcinereus,8,104.17,13.35,0.74
Alphitonia excelsa,25,18.2,9.06,0.725166841
Anagallis arvensis,0.3,0.5,22.48,NA
Angophora subvelutina,20,7.26,8.38,0.658192325
Araujia sericifera,NA,9.24,26.38,NA
Aristida ramosa,1.2,0.86,9.44,NA
Asperula polymera,0.4,NA,NA,NA
Asperula scoparia subsp. scoparia,0.3,1.11,NA,NA
Asperula sp. (Mann),NA,NA,NA,NA
Asplenium flabellifolium,0.2,NA,16.81,NA
Asteraceae sp.,NA,NA,NA,NA
Astroloma humifusum,0.5,61.56,10.49,NA
Austrostipa ramosissima,2.5,NA,NA,NA
Backhousia myrtifolia,30,13.01,11.97,0.820059734
Banksia integrifolia subsp. monticola,25,13.67,17.1,0.48216
Bedfordia arborescens,5,0.74,14.26,NA
Beyeria lasiocarpa,6,NA,NA,NA
Beyeria viscosa,4,32.14,21.51,NA
Bidens pilosa,1,2.1,62.12,NA
Bidens subalternans,1.6,3.55,38.89,NA
Billardiera macrantha,NA,1.8,NA,NA
Blechnum minus,0.7,NA,NA,NA
Blechnum nudum,1,NA,20.83,NA
Blechnum patersonii,0.5,NA,28.88,NA
Blechnum penna-marina subsp. alpina,0.3,NA,13,NA
Bothriochloa macra,1,1.3,24.61,NA
Brachyscome ?angustifolia,NA,NA,NA,NA
Brachyscome aculeata,0.6,0.26,NA,NA
Breynia oblongifolia,3,7.83,15.76,NA
Bromus catharticus,1,7.7,19.11,NA
Bursaria spinosa subsp. lasiophylla,5,1.48,5.8,0.650078892
Bursaria spinosa subsp. spinosa,10,1.48,8.76,0.650078892
Callistemon subulatus,1,0.04,5.51,0.683
Calochlaena dubia,1.5,NA,23.75,NA
Calystegia marginata,NA,12.62,NA,NA
Calystegia sepium subsp. roseata,NA,25.58,38.4,NA
Calystegia sp. (Gibbo),NA,NA,NA,NA
Carduus tenuiflorus,1.5,3.5,12.28,NA
Carex appressa,1.2,0.84,14.57,NA
Carex fascicularis,1,1.22,NA,NA
Carex gaudichaudiana,0.9,0.93,NA,NA
Carex inversa,0.5,0.37,20.69,NA
Carex longebrachiata,0.8,1.38,15.52,NA
Carex polyantha,0.8,1.25,17.08,NA
Carex sp. (Cataract),0.5,NA,12.43,NA
Carex sp. (Gibbo),0.5,NA,NA,NA
Carex sp. (Jilliby),0.5,NA,NA,NA
Carex sp. (Mann),0.5,NA,8.19,NA
Cassinia aculeata,2.5,0.07,13.8,NA
Cassinia longifolia,2.5,0.03,7.96,NA
Cassinia trinerva,8,0.18,20.63,NA
Cassinia uncata,3,0.12,NA,NA
Cassytha pubescens,NA,11.53,6.49,NA
Casuarina cunninghamiana,35,0.63,1.41,0.612200593
Casuarina glauca,20,1.14,4.69,0.60140898
Cayratia clematidea,NA,NA,40.74,NA
Centaurium erythraea,0.5,0.01,14.1,NA
Centaurium tenuiflorum,0.4,0.01,13.57,NA
Centella asiatica,0.2,1.5,47.03,NA
Ceratopetalum apetalum,25,17.09,12.07,0.499899061
Cirsium vulgare,1.5,2.64,12.65,NA
Cissus antarctica,NA,65.4,9.91,0.545107896
Clematis aristata,NA,0.29,30.88,0.2981
Climber (Sportsmans 56),NA,NA,NA,NA
Climber 2 (Wallagaraugh 14),NA,NA,NA,NA
Commelina cyanea,0.2,17.5,54.11,NA
