species,plot,abund,log_SLA.exp,log_SLA
Abrophyllum ornans,1,0.0938722294654498,1.04375512696868,1.04375512696868
Acacia falciformis,14,0.00898203592814371,0.781036938621132,0.781036938621132
Acacia floribunda,4,0.127152317880795,0.994756944587628,0.994756944587628
Acacia floribunda,5,0.0873215785054576,0.994756944587628,0.994756944587628
Acacia floribunda,6,0.162790697674419,0.994756944587628,0.994756944587628
Acacia floribunda,12,0.0126697865540463,0.994756944587628,0.994756944587628
Acacia floribunda,13,0.0204379562043796,0.994756944587628,0.994756944587628
Acacia implexa,14,0.0276946107784431,0.890979596989689,0.890979596989689
Acacia leiocalyx subsp. leiocalyx,13,0.0408759124087591,0.993876914941211,0.993876914941211
Acacia mearnsii,6,0.0295983086680761,0.988558956878616,0.988558956878616
Acacia melanoxylon,3,0.0362796833773087,0.920645001406788,0.920645001406788
Acacia melanoxylon,7,0.019047619047619,0.920645001406788,0.920645001406788
Acacia melanoxylon,8,0.0904977375565611,0.920645001406788,0.920645001406788
Acacia pravissima,14,0.336826347305389,0.970346876230093,0.970346876230093
Acaena novae-zelandiae,8,0.0142210730446025,1.24797326636181,1.24797326636181
Acmena smithii,1,0.374185136897001,1.07077646284343,1.07077646284343
Acmena smithii,15,0.103566194430874,1.07077646284343,1.07077646284343
Adiantum aethiopicum,2,0.0410798122065728,1.78830981210705,1.78830981210705
Adiantum aethiopicum,3,0.0158311345646438,1.78830981210705,1.78830981210705
Adiantum aethiopicum,10,0.0152046783625731,1.78830981210705,1.78830981210705
Adiantum aethiopicum,15,0.0170981924767953,1.78830981210705,1.78830981210705
Adiantum hispidulum,1,0.00782268578878748,1.41430468812833,1.41430468812833
Alphitonia excelsa,13,0.113868613138686,0.957128197676813,0.957128197676813
Anagallis arvensis,3,0.0145118733509235,1.35179630689702,1.35179630689702
Angophora subvelutina,12,0.0399497774226686,0.923244018630276,0.923244018630276
Asplenium flabellifolium,4,0.0123620309050773,1.22556771343947,1.22556771343947
Astroloma humifusum,6,0.0317124735729387,1.02077548819356,1.02077548819356
Backhousia myrtifolia,5,0.192275398824517,1.07809415040641,1.07809415040641
Bedfordia arborescens,9,0.0352348993288591,1.15411952551585,1.15411952551585
Beyeria viscosa,7,0.0984126984126984,1.33264041038746,1.33264041038746
