species,Nplots,mean.abund,ts,betaT,alphaT,Rs,slopeN,b.inter,bs,bs.se,bs.p,u.inter,us,us.se,us.p,min.tp,max.tp,min.tval,max.tval,low.bound,hi.bound
Abrophyllum ornans,1,0.0938722294654498,1.04375512696868,1.05507190276954,-0.0113167758008557,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05507190276954,1.05507190276954,1.04375512696868,1.04375512696868,0,0
Acacia falciformis,1,0.00898203592814371,0.781036938621132,0.94575162781106,-0.164714689189928,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.94575162781106,0.94575162781106,0.781036938621132,0.781036938621132,0,0
Acacia floribunda,5,0.0820744673638195,0.994756944587628,0.862624549242506,0.132132395345122,0.448684062883184,5,0.994756944587628,8.52294735796056e-17,1.97621371308181e-16,0.695379873100665,0.994756944587628,0,0,NA,0.721335594201197,1.17001965708438,0.994756944587628,0.994756944587628,1,0
Acacia implexa,1,0.0276946107784431,0.890979596989689,0.94575162781106,-0.0547720308213706,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.94575162781106,0.94575162781106,0.890979596989689,0.890979596989689,0,0
Acacia leiocalyx subsp. leiocalyx,1,0.0408759124087591,0.993876914941211,1.15246521031611,-0.158588295374903,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.15246521031611,1.15246521031611,0.993876914941211,0.993876914941211,0,0
Acacia mearnsii,1,0.0295983086680761,0.988558956878616,0.721335594201197,0.267223362677419,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.721335594201197,0.721335594201197,0.988558956878616,0.988558956878616,1,0
Acacia melanoxylon,3,0.0486083466604963,0.920645001406788,1.11125843946475,-0.190613438057958,0.309447110683821,3,0.920645001406787,0,0,NA,0.920645001406788,1.60077358319272e-16,6.79861538088696e-16,0.852785570826183,0.865026256273222,1.17447336695704,0.920645001406788,0.920645001406788,0,0
Acacia pravissima,1,0.336826347305389,0.970346876230093,0.94575162781106,0.0245952484190338,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.94575162781106,0.94575162781106,0.970346876230093,0.970346876230093,0,0
Acaena novae-zelandiae,1,0.0142210730446025,1.24797326636181,1.17447336695704,0.0734998994047642,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.17447336695704,1.17447336695704,1.24797326636181,1.24797326636181,0,0
Acmena smithii,2,0.238875665663938,1.07077646284343,1.05661107580669,0.0141653870367493,0.00710021230077329,2,1.07077646284346,-2.74509625313452e-14,NA,1,1.07077646284339,4.4226634139173e-14,NA,1,1.05507190276954,1.06217211507031,1.07077646284343,1.07077646284343,0,0
Adiantum aethiopicum,4,0.0223034544026463,1.78830981210705,1.06562730949983,0.722682502607223,0.0395024251699301,4,1.78830981210706,-4.5903940936882e-15,2.48836305670275e-15,0.206374826407203,1.78830981210705,0,0,NA,1.0511617035496,1.09066412871953,1.78830981210705,1.78830981210705,0,0
Adiantum hispidulum,1,0.00782268578878748,1.41430468812833,1.05507190276954,0.359232785358796,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05507190276954,1.05507190276954,1.41430468812833,1.41430468812833,0,0
Alphitonia excelsa,1,0.113868613138686,0.957128197676813,1.15246521031611,-0.195337012639301,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.15246521031611,1.15246521031611,0.957128197676813,0.957128197676813,0,0
Anagallis arvensis,1,0.0145118733509235,1.35179630689702,1.08284939618726,0.26894691070976,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.08284939618726,1.08284939618726,1.35179630689702,1.35179630689702,0,0
Angophora subvelutina,1,0.0399497774226686,0.923244018630276,1.17001965708438,-0.246775638454105,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.17001965708438,1.17001965708438,0.923244018630276,0.923244018630276,0,0
Asplenium flabellifolium,1,0.0123620309050773,1.22556771343947,0.874589561258425,0.350978152181046,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.874589561258425,0.874589561258425,1.22556771343947,1.22556771343947,0,0
Astroloma humifusum,1,0.0317124735729387,1.02077548819356,0.721335594201197,0.299439893992361,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.721335594201197,0.721335594201197,1.02077548819356,1.02077548819356,1,0
Backhousia myrtifolia,1,0.192275398824517,1.07809415040641,0.996162760664721,0.0819313897416902,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.996162760664721,0.996162760664721,1.07809415040641,1.07809415040641,0,0
Bedfordia arborescens,1,0.0352348993288591,1.15411952551585,1.10892555893037,0.0451939665854797,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.10892555893037,1.10892555893037,1.15411952551585,1.15411952551585,0,0
Beyeria viscosa,1,0.0984126984126984,1.33264041038746,0.865026256273222,0.467614154114241,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.865026256273222,0.865026256273222,1.33264041038746,1.33264041038746,0,0
Bidens pilosa,2,0.0105016316083265,1.79323144705652,1.21069638874106,0.582535058315457,0.0890958848997534,2,1.79323144705652,4.31544146947738e-15,NA,1,1.79323144705652,-3.52450050964839e-15,NA,1,1.17001965708438,1.25911554198413,1.79323144705652,1.79323144705652,0,1
Bidens subalternans,1,0.026027397260274,1.58983794314746,1.25911554198413,0.330722401163325,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.25911554198413,1.25911554198413,1.58983794314746,1.58983794314746,0,1
Blechnum nudum,4,0.0578519518685602,1.31868926994775,1.15225731577256,0.166431954175188,0.123311663407441,4,1.31868926994775,-6.29366864846732e-16,1.32493224605229e-15,0.681593059030216,1.31868926994775,0,0,NA,1.0511617035496,1.17447336695704,1.31868926994775,1.31868926994775,0,0
Callistemon subulatus,1,0.0338266384778013,0.741151598851785,0.721335594201197,0.0198160046505883,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.721335594201197,0.721335594201197,0.741151598851785,0.741151598851785,1,0
Calochlaena dubia,4,0.096856149481355,1.37566361396089,1.12456691360954,0.251096700351347,0.0916239707697788,4,1.37566361396088,5.1665323689029e-15,1.37027099728832e-15,0.063695025801976,1.37566361396089,0,0,NA,1.08284939618726,1.17447336695704,1.37566361396089,1.37566361396089,0,0
Carex appressa,2,0.0249201022690956,1.16345955176999,0.922501725158442,0.240957826611549,0.243899302657145,2,1.16345955176999,0,NA,1,1.16345955176999,1.2874923721212e-15,NA,1,0.865026256273222,1.10892555893037,1.16345955176999,1.16345955176999,0,0
Carex longebrachiata,2,0.0264071768393241,1.19089171692217,0.910232817298416,0.280658899623753,0.180482341511111,2,1.19089171692217,-1.68090311347204e-15,NA,1,1.19089171692217,0,NA,1,0.874589561258425,1.05507190276954,1.19089171692217,1.19089171692217,0,0
Carex polyantha,1,0.176056338028169,1.23248786635299,1.0511617035496,0.181326162803385,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.0511617035496,1.0511617035496,1.23248786635299,1.23248786635299,0,0
Carex sp. (Mann),1,0.0178082191780822,0.913283901760419,1.25911554198413,-0.345831640223716,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.25911554198413,1.25911554198413,0.913283901760418,0.913283901760418,0,1
Cassinia aculeata,3,0.0339634518787693,1.13987908640124,1.07626547262322,0.0636136137780137,0.163173931119307,3,1.13987908640124,0,0,NA,1.13987908640123,2.90994024650399e-15,4.02558143111554e-15,0.601536220853843,0.94575162781106,1.10892555893037,1.13987908640124,1.13987908640124,0,0
Cassinia trinerva,1,0.0176600441501104,1.31449922797315,0.874589561258425,0.439909666714727,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.874589561258425,0.874589561258425,1.31449922797315,1.31449922797315,0,0
Casuarina cunninghamiana,5,0.203405254157388,0.14921911265538,0.916469590009084,-0.767250477353704,0.537779947782938,5,0.14921911265538,7.69588962901912e-18,5.77554936241737e-17,0.902432052127197,0.14921911265538,4.24962542959572e-17,6.94448750960752e-17,0.583832702838073,0.721335594201197,1.25911554198413,0.14921911265538,0.14921911265538,1,1
Casuarina glauca,1,0.100729927007299,0.671172842715083,1.15246521031611,-0.481292367601031,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.15246521031611,1.15246521031611,0.671172842715083,0.671172842715083,0,0
Centella asiatica,1,0.0165450121654501,1.67237497874608,1.15246521031611,0.519909768429965,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.15246521031611,1.15246521031611,1.67237497874608,1.67237497874608,0,0
Ceratopetalum apetalum,1,0.075619295958279,1.08170727009735,1.05507190276954,0.0266353673278139,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05507190276954,1.05507190276954,1.08170727009735,1.08170727009735,0,0
Commelina cyanea,2,0.091316122354207,1.73327753393258,1.19006800466809,0.54320952926449,0.0890958848997534,2,1.73327753393259,-6.98245447782097e-15,NA,1,1.73327753393259,-7.04900101929678e-15,NA,1,1.17001965708438,1.25911554198413,1.73327753393258,1.73327753393258,0,1
Commersonia fraseri,1,0.107474352711285,1.37088301677761,1.06217211507031,0.308710901707297,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.06217211507031,1.06217211507031,1.37088301677761,1.37088301677761,0,0
Conyza parva,1,0.01826275539322,1.35698140099313,1.17001965708438,0.18696174390875,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.17001965708438,1.17001965708438,1.35698140099313,1.35698140099313,0,0
Coprosma quadrifida,5,0.0670762613734349,1.53668467262093,1.10219258384016,0.434492088780766,0.123311663407441,5,1.53668467262093,2.35320815346136e-15,8.22913062973126e-16,0.0645977619570658,1.53668467262093,0,0,NA,1.0511617035496,1.17447336695704,1.53668467262093,1.53668467262093,0,0
Cryptocarya glaucescens,1,0.0443285528031291,1.01494034979294,1.05507190276954,-0.0401315529765987,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05507190276954,1.05507190276954,1.01494034979294,1.01494034979294,0,0
Dichondra repens,3,0.0135527934779804,1.51375015008182,1.01114040840732,0.5026097416745,0.27787564905769,3,1.51375015008182,1.12655914647044e-15,1.72061284296924e-16,0.0964863806188137,1.51375015008183,-1.31951515078564e-15,8.94292563939707e-16,0.379191041997323,0.874589561258425,1.15246521031611,1.51375015008182,1.51375015008182,0,0
