species,Nplots,mean.abund,ts,betaT,alphaT,Rs,slopeN,b.inter,bs,bs.se,bs.p,u.inter,us,us.se,us.p,min.tp,max.tp,min.tval,max.tval,low.bound,hi.bound
Abrophyllum ornans,1,0.0938722294654498,1.04375512696868,1.05507190276954,-0.0113167758008557,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05507190276954,1.05507190276954,1.04375512696868,1.04375512696868,0,0
Acacia falciformis,1,0.0179372197309417,0.781036938621132,0.974167064992489,-0.193130126371357,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.974167064992488,0.974167064992488,0.781036938621132,0.781036938621132,0,0
Acacia floribunda,1,0.14776808619805,0.994756944587628,0.839360261794533,0.155396682793095,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.839360261794533,0.839360261794533,0.994756944587628,0.994756944587628,0,0
Acacia implexa,1,0.0553064275037369,0.890979596989689,0.974167064992488,-0.0831874680027994,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.974167064992488,0.974167064992488,0.890979596989689,0.890979596989689,0,0
Acacia leiocalyx subsp. leiocalyx,1,0.0557768924302789,0.993876914941211,1.09839570086261,-0.104518785921399,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.09839570086261,1.09839570086261,0.993876914941211,0.993876914941211,0,0
Acacia mearnsii,1,0.311111111111111,0.988558956878616,0.911330740018501,0.0772282168601146,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.911330740018501,0.911330740018501,0.988558956878616,0.988558956878616,0,0
Acacia melanoxylon,1,0.0419847328244275,0.920645001406788,1.05578863404839,-0.1351436326416,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05578863404839,1.05578863404839,0.920645001406788,0.920645001406788,0,0
Acacia pravissima,1,0.672645739910314,0.970346876230093,0.974167064992488,-0.00382018876239498,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.974167064992488,0.974167064992488,0.970346876230093,0.970346876230093,0,0
Acaena novae-zelandiae,1,0.0466101694915254,1.24797326636181,0.986707391560646,0.26126587480116,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.986707391560646,0.986707391560646,1.24797326636181,1.24797326636181,0,0
Acmena smithii,1,0.374185136897001,1.07077646284343,1.05507190276954,0.0157045600738994,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05507190276954,1.05507190276954,1.07077646284343,1.07077646284343,0,0
Adiantum aethiopicum,1,0.138339920948617,1.78830981210705,1.37735436629307,0.410955445813979,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.37735436629307,1.37735436629307,1.78830981210705,1.78830981210705,0,1
Adiantum hispidulum,1,0.00782268578878748,1.41430468812833,1.05507190276954,0.359232785358796,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05507190276954,1.05507190276954,1.41430468812833,1.41430468812833,0,0
Alphitonia excelsa,1,0.155378486055777,0.957128197676813,1.09839570086261,-0.141267503185797,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.09839570086261,1.09839570086261,0.957128197676813,0.957128197676813,0,0
Anagallis arvensis,1,0.016793893129771,1.35179630689702,1.05578863404839,0.296007672848636,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05578863404839,1.05578863404839,1.35179630689702,1.35179630689702,0,0
Angophora subvelutina,1,0.0807381776239908,0.923244018630276,1.12301462350636,-0.199770604876088,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.12301462350636,1.12301462350636,0.923244018630276,0.923244018630276,0,0
Asplenium flabellifolium,1,0.0143663417136993,1.22556771343947,0.839360261794533,0.386207451644938,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.839360261794533,0.839360261794533,1.22556771343947,1.22556771343947,0,0
Astroloma humifusum,1,0.333333333333333,1.02077548819356,0.911330740018501,0.109444748175057,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.911330740018501,0.911330740018501,1.02077548819356,1.02077548819356,0,0
Backhousia myrtifolia,1,0.731629392971246,1.07809415040641,1.04793441171046,0.0301597386959505,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.04793441171046,1.04793441171046,1.07809415040641,1.07809415040641,0,0
Bedfordia arborescens,1,0.156133828996283,1.15411952551585,1.06257528442824,0.0915442410876035,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.06257528442824,1.06257528442824,1.15411952551585,1.15411952551585,0,0
Beyeria viscosa,1,0.113970588235294,1.33264041038746,0.829990976419821,0.502649433967642,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.829990976419821,0.829990976419821,1.33264041038746,1.33264041038746,1,0
Bidens pilosa,1,0.0307692307692308,1.79323144705652,1.29284282239213,0.500388624664391,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.29284282239213,1.29284282239213,1.79323144705652,1.79323144705652,0,0
Bidens subalternans,1,0.0835164835164835,1.58983794314746,1.29284282239213,0.29699512075533,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.29284282239213,1.29284282239213,1.58983794314746,1.58983794314746,0,0
Blechnum nudum,1,0.0632411067193676,1.31868926994775,1.37735436629307,-0.0586650963453252,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.37735436629307,1.37735436629307,1.31868926994775,1.31868926994775,0,1
Callistemon subulatus,1,0.355555555555556,0.741151598851785,0.911330740018501,-0.170179141166716,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.911330740018501,0.911330740018501,0.741151598851785,0.741151598851785,0,0
Calochlaena dubia,1,0.178625954198473,1.37566361396089,1.05578863404839,0.319874979912498,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05578863404839,1.05578863404839,1.37566361396089,1.37566361396089,0,0
Carex appressa,1,0.0441176470588235,1.16345955176999,0.829990976419821,0.333468575350169,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.829990976419821,0.829990976419821,1.16345955176999,1.16345955176999,1,0
Carex longebrachiata,1,0.0104302477183833,1.19089171692217,1.05507190276954,0.135819814152634,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05507190276954,1.05507190276954,1.19089171692217,1.19089171692217,0,0
Carex polyantha,1,0.592885375494071,1.23248786635299,1.37735436629307,-0.144866499940085,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.37735436629307,1.37735436629307,1.23248786635299,1.23248786635299,0,1
Carex sp. (Mann),1,0.0571428571428571,0.913283901760418,1.29284282239213,-0.379558920631712,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.29284282239213,1.29284282239213,0.913283901760418,0.913283901760418,0,0
Cassinia aculeata,1,0.223048327137546,1.13987908640124,1.06257528442824,0.0773038019729932,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.06257528442824,1.06257528442824,1.13987908640124,1.13987908640124,0,0
Cassinia trinerva,1,0.0205233453052848,1.31449922797315,0.839360261794533,0.475138966178619,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.839360261794533,0.839360261794533,1.31449922797315,1.31449922797315,0,0
Casuarina cunninghamiana,1,0.369420215495126,0.14921911265538,0.839360261794533,-0.690141149139153,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.839360261794533,0.839360261794533,0.14921911265538,0.14921911265538,0,0
Casuarina glauca,1,0.137450199203187,0.671172842715083,1.09839570086261,-0.427222858147527,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.09839570086261,1.09839570086261,0.671172842715083,0.671172842715083,0,0
Centella asiatica,1,0.0225763612217795,1.67237497874608,1.09839570086261,0.57397927788347,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.09839570086261,1.09839570086261,1.67237497874608,1.67237497874608,0,0
Ceratopetalum apetalum,1,0.075619295958279,1.08170727009735,1.05507190276954,0.0266353673278139,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05507190276954,1.05507190276954,1.08170727009735,1.08170727009735,0,0
Commelina cyanea,1,0.131868131868132,1.73327753393258,1.29284282239213,0.440434711540451,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.29284282239213,1.29284282239213,1.73327753393258,1.73327753393258,0,0
Commersonia fraseri,1,0.1743264659271,1.37088301677761,1.10014760520497,0.270735411572633,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.10014760520497,1.10014760520497,1.37088301677761,1.37088301677761,0,0
Conyza parva,1,0.0369088811995386,1.35698140099313,1.12301462350636,0.233966777486766,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.12301462350636,1.12301462350636,1.35698140099313,1.35698140099313,0,0
Coprosma quadrifida,1,0.205533596837945,1.53668467262093,1.37735436629307,0.159330306327859,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.37735436629307,1.37735436629307,1.53668467262093,1.53668467262093,0,1
Cryptocarya glaucescens,1,0.0443285528031291,1.01494034979294,1.05507190276954,-0.0401315529765987,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05507190276954,1.05507190276954,1.01494034979294,1.01494034979294,0,0
Dichondra repens,1,0.017444843509492,1.51375015008182,0.839360261794533,0.674389888287291,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.839360261794533,0.839360261794533,1.51375015008182,1.51375015008182,0,0
Dodonaea viscosa subsp. cuneata,1,0.0523168908819133,1.10822665637493,0.974167064992488,0.13405959138244,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.974167064992488,0.974167064992488,1.10822665637493,1.10822665637493,0,0
Doodia aspera,1,0.0625814863102999,1.02938377768521,1.05507190276954,-0.0256881250843255,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05507190276954,1.05507190276954,1.02938377768521,1.02938377768521,0,0
Doryphora sassafras,1,0.0638852672750978,1.04178731897175,1.05507190276954,-0.0132845837977835,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05507190276954,1.05507190276954,1.04178731897175,1.04178731897175,0,0
Duboisia myoporoides,1,0.0577689243027888,1.34380233316166,1.09839570086261,0.245406632299045,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.09839570086261,1.09839570086261,1.34380233316166,1.34380233316166,0,0
Ehrharta erecta,1,0.0441176470588235,1.07773117965239,0.829990976419821,0.247740203232571,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.829990976419821,0.829990976419821,1.07773117965239,1.07773117965239,1,0
Entolasia stricta,1,0.0447284345047923,1.56395546499581,1.04793441171046,0.516021053285352,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.04793441171046,1.04793441171046,1.56395546499581,1.56395546499581,0,0
Eucalyptus amplifolia,1,0.21978021978022,0.690196080028514,1.29284282239213,-0.602646742363617,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.29284282239213,1.29284282239213,0.690196080028514,0.690196080028514,0,0
Eucalyptus camphora subsp. humeana,1,0.805084745762712,0.934498451243568,0.986707391560646,-0.0522089403170783,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.986707391560646,0.986707391560646,0.934498451243568,0.934498451243568,0,0
Eucalyptus cypellocarpa,1,0.082093381221139,0.642464520242121,0.839360261794533,-0.196895741552412,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.839360261794533,0.839360261794533,0.642464520242121,0.642464520242121,0,0
Eucalyptus elata,1,0.108626198083067,0.806858029518817,1.04793441171046,-0.241076382191643,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.04793441171046,1.04793441171046,0.806858029518817,0.806858029518817,0,0
Eucalyptus radiata,1,0.0423728813559322,1.01283722470517,0.986707391560646,0.0261298331445261,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.986707391560646,0.986707391560646,1.01283722470517,1.01283722470517,0,0
Eucalyptus resinifera,1,0.150554675118859,0.807365990425832,1.10014760520497,-0.292781614779141,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.10014760520497,1.10014760520497,0.807365990425832,0.807365990425832,0,0
Eucalyptus rubida,1,0.775735294117647,0.708420900134713,0.829990976419821,-0.121570076285108,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.829990976419821,0.829990976419821,0.708420900134713,0.708420900134713,1,0
Eucalyptus stellulata,1,0.842391304347826,0.905795880367868,0.936571101898668,-0.0307752215307999,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.936571101898668,0.936571101898668,0.905795880367869,0.905795880367869,0,0
Eucalyptus tereticornis,1,0.382929642445213,0.816241299991783,1.12301462350636,-0.306773323514582,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.12301462350636,1.12301462350636,0.816241299991783,0.816241299991783,0,0
Eucalyptus viminalis,1,0.221374045801527,0.838219221907626,1.05578863404839,-0.217569412140762,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05578863404839,1.05578863404839,0.838219221907626,0.838219221907626,0,0
Eustrephus latifolius,1,0.0117340286831812,1.34321159017975,1.05507190276954,0.288139687410212,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05507190276954,1.05507190276954,1.34321159017975,1.34321159017975,0,0
Glochidion ferdinandi var. ferdinandi,1,0.063391442155309,1.10856502373283,1.10014760520497,0.00841741852786204,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.10014760520497,1.10014760520497,1.10856502373283,1.10856502373283,0,0
Grevillea robusta,1,0.0106241699867198,0.700703717145019,1.09839570086261,-0.397691983717591,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.09839570086261,1.09839570086261,0.700703717145019,0.700703717145019,0,0
Guioa semiglauca,1,0.00782268578878748,1.12090281761453,1.05507190276954,0.065830914844992,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05507190276954,1.05507190276954,1.12090281761453,1.12090281761453,0,0
Gymnostachys anceps,1,0.00782268578878748,0.843855422623161,1.05507190276954,-0.211216480146374,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05507190276954,1.05507190276954,0.843855422623161,0.843855422623161,0,0
Hovea asperifolia subsp. asperifolia,1,0.201793721973094,0.99211148778695,0.974167064992488,0.0179444227944612,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.974167064992488,0.974167064992488,0.99211148778695,0.99211148778695,0,0
Imperata cylindrica,1,0.0747252747252747,1.20709554041922,1.29284282239213,-0.0857472819729121,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.29284282239213,1.29284282239213,1.20709554041922,1.20709554041922,0,0
Lepidosperma laterale,1,0.115015974440895,0.88309335857569,1.04793441171046,-0.16484105313477,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.04793441171046,1.04793441171046,0.88309335857569,0.88309335857569,0,0
Leptospermum brevipes,1,0.116793893129771,0.955206537541942,1.05578863404839,-0.100582096506446,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05578863404839,1.05578863404839,0.955206537541942,0.955206537541942,0,0
Ligustrum sinense,1,0.0519031141868512,1.01953168453126,1.12301462350636,-0.103482938975109,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.12301462350636,1.12301462350636,1.01953168453126,1.01953168453126,0,0
Lomandra longifolia,1,0.0260756192959583,1.1102529173534,1.05507190276954,0.0551810145838678,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05507190276954,1.05507190276954,1.1102529173534,1.1102529173534,0,0
Lomatia myricoides,1,0.0194971780400205,1.01367969729119,0.839360261794533,0.17431943549666,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.839360261794533,0.839360261794533,1.01367969729119,1.01367969729119,0,0
Lophostemon suaveolens,1,0.208499335989376,0.863322860120456,1.09839570086261,-0.235072840742154,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.09839570086261,1.09839570086261,0.863322860120456,0.863322860120456,0,0
Melaleuca quinquenervia,1,0.0743691899070385,0.900913067737669,1.09839570086261,-0.197482633124941,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.09839570086261,1.09839570086261,0.900913067737669,0.900913067737669,0,0
Melicytus dentatus,1,0.125705489994869,1.22115332195471,0.839360261794533,0.381793060160172,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.839360261794533,0.839360261794533,1.22115332195471,1.22115332195471,0,0
Microlaena stipoides,1,0.0759363776295536,1.55954755558043,0.839360261794533,0.720187293785902,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.839360261794533,0.839360261794533,1.55954755558043,1.55954755558043,0,0
Notelaea longifolia,1,0.0239043824701195,0.929418925714293,1.09839570086261,-0.168976775148317,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.09839570086261,1.09839570086261,0.929418925714293,0.929418925714293,0,0
Notelaea microcarpa var. microcarpa,1,0.0835164835164835,0.790988475088816,1.29284282239213,-0.501854347303314,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.29284282239213,1.29284282239213,0.790988475088816,0.790988475088816,0,0
Notelaea microcarpa var. velutina,1,0.0161476355247982,0.779596491257824,1.12301462350636,-0.34341813224854,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.12301462350636,1.12301462350636,0.779596491257824,0.779596491257824,0,0
Oplismenus aemulus,1,0.114930733709595,1.74942709912175,0.839360261794533,0.910066837327216,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.839360261794533,0.839360261794533,1.74942709912175,1.74942709912175,0,0
