plot,Nsp,tp,Trange,mnNiBr,mnIntraSlope,min.aT,max.aT,tval.low,tval.hi,lowbound.sp,hibound.sp
1,9,0.792955826999264,0.172979766118897,0,NA,-0.0884391543789496,0.0845406117399479,0.704516672620315,0.877496438739212,0,0
2,1,0.696431213401582,0,0,NA,0,0,0.696431213401582,0.696431213401582,0,0
3,4,0.779496384767502,0.153413916797679,0,NA,-0.0890923668185908,0.0643215499790882,0.690404017948911,0.84381793474659,0,0
4,4,0.782482800310845,0.0974248484194004,0,NA,-0.0547868315161845,0.0426380169032159,0.727695968794661,0.825120817214061,0,0
5,2,0.880171574212182,0.196475864023674,0,NA,-0.171075942438864,0.0253999215848095,0.709095631773317,0.905571495796991,0,1
6,2,0.817616602030546,0.0189032966254922,0,NA,-0.0100817582002625,0.0088215384252297,0.807534843830283,0.826438140455775,0,0
7,3,0.693171361607248,0.117730996082461,0,NA,-0.101647904760438,0.0160830913220238,0.59152345684681,0.709254452929271,1,0
8,2,0.709543579921965,0.0533845515840511,0,NA,-0.00266922757920252,0.0507153240048488,0.706874352342763,0.760258903926814,0,0
9,1,0.761577310586391,0,0,NA,0,0,0.761577310586391,0.761577310586391,0,0
10,1,0.798108990050858,0,0,NA,0,0,0.798108990050858,0.798108990050858,0,0
11,2,0.862414494972361,0.0872371798267511,0,NA,-0.0632153477005442,0.0240218321262069,0.799199147271817,0.886436327098568,0,0
12,5,0.81978588087157,0.181722035409726,0,NA,-0.149642889413776,0.0320791459959501,0.670142991457793,0.85186502686752,0,0
13,11,0.784722197667837,0.357409586205354,0,NA,-0.209602963943212,0.147806622262143,0.575119233724625,0.932528819929979,0,0
14,3,0.879086940566936,0.173805138554986,0,NA,-0.0797877681665133,0.0940173703884726,0.799299172400422,0.973104310955408,0,0
15,4,0.715096810005375,0.205891594751623,0,NA,-0.105350233139215,0.100541361612408,0.60974657686616,0.815638171617783,0,0
