species,Nplots,mean.abund,ts,betaT,alphaT,Rs,slopeN,b.inter,bs,bs.se,bs.p,u.inter,us,us.se,us.p,min.tp,max.tp,min.tval,max.tval,low.bound,hi.bound
Abrophyllum ornans,1,0.107462686567164,0.775631199733482,0.792955826999264,-0.0173246272657829,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.792955826999264,0.792955826999264,0.775631199733482,0.775631199733482,0,0
Acacia boormanii,1,0.23321554770318,0.709254452929271,0.693171361607248,0.0160830913220238,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.693171361607248,0.693171361607248,0.709254452929271,0.709254452929271,1,0
Acacia falciformis,1,0.142857142857143,0.850881895447306,0.879086940566936,-0.0282050451196298,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.879086940566936,0.879086940566936,0.850881895447306,0.850881895447306,0,0
Acacia floribunda,1,0.203821656050955,0.825120817214061,0.782482800310845,0.0426380169032159,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.782482800310845,0.782482800310845,0.825120817214061,0.825120817214061,0,0
Acacia implexa,1,0.44047619047619,0.799299172400422,0.879086940566936,-0.0797877681665133,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.879086940566936,0.879086940566936,0.799299172400422,0.799299172400422,0,0
Acacia leiocalyx subsp. leiocalyx,1,0.0645161290322581,0.754503503636663,0.784722197667837,-0.0302186940311736,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.784722197667837,0.784722197667837,0.754503503636663,0.754503503636663,0,0
Acacia mearnsii,1,0.466666666666667,0.807534843830283,0.817616602030546,-0.0100817582002625,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.817616602030546,0.817616602030546,0.807534843830283,0.807534843830283,0,0
Acacia melanoxylon,1,0.0731382978723404,0.690404017948911,0.779496384767502,-0.0890923668185908,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.779496384767502,0.779496384767502,0.690404017948911,0.690404017948911,0,0
Acmena smithii,1,0.428358208955224,0.845370845842226,0.792955826999264,0.0524150188429612,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.792955826999264,0.792955826999264,0.845370845842226,0.845370845842226,0,0
Alphitonia excelsa,1,0.179723502304147,0.851567285069125,0.784722197667837,0.0668450874012879,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.784722197667837,0.784722197667837,0.851567285069125,0.851567285069125,0,0
Angophora subvelutina,1,0.135922330097087,0.81129053057459,0.81978588087157,-0.00849535029697945,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.81978588087157,0.81978588087157,0.81129053057459,0.81129053057459,0,0
Backhousia myrtifolia,1,0.870722433460076,0.905571495796991,0.880171574212182,0.0253999215848095,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.880171574212182,0.880171574212182,0.905571495796991,0.905571495796991,0,1
Callistemon subulatus,1,0.533333333333333,0.826438140455775,0.817616602030546,0.0088215384252297,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.817616602030546,0.817616602030546,0.826438140455775,0.826438140455775,0,0
