species,plot,abund,tval,tp,ts,tvalNA
Abrophyllum ornans,1,0.107462686567164,0.775631199733482,0.792955826999264,0.775631199733482,0.775631199733482
Acacia boormanii,7,0.222972972972973,0.709254452929271,0.694519002440086,0.709254452929271,0.709254452929271
Acacia falciformis,14,0.0178306092124814,0.850881895447306,0.798976182734491,0.850881895447306,0.850881895447306
Acacia floribunda,4,0.203821656050955,0.825120817214061,0.782482800310845,0.825120817214061,0.825120817214061
Acacia floribunda,5,0.133504492939666,0.825120817214061,0.828204953523372,0.825120817214061,0.825120817214061
Acacia floribunda,6,0.190594059405941,0.825120817214061,0.813336687975664,0.825120817214061,0.825120817214061
Acacia floribunda,12,0.0268375241779497,0.825120817214061,0.798231484858171,0.825120817214061,0.825120817214061
Acacia floribunda,13,0.03125,0.825120817214061,0.785984654528656,0.825120817214061,0.825120817214061
Acacia implexa,14,0.0549777117384844,0.799299172400422,0.798976182734491,0.799299172400422,0.799299172400422
Acacia leiocalyx subsp. leiocalyx,13,0.0625,0.754503503636663,0.785984654528656,0.754503503636663,0.754503503636663
Acacia mearnsii,6,0.0346534653465346,0.807534843830283,0.813336687975664,0.807534843830283,0.807534843830283
Acacia melanoxylon,3,0.0712435233160622,0.690404017948911,0.777344437322789,0.690404017948911,0.690404017948911
Acacia melanoxylon,7,0.0202702702702703,0.690404017948911,0.694519002440086,0.690404017948911,0.690404017948911
Acacia melanoxylon,8,0.132075471698113,0.690404017948911,0.703669934675769,0.690404017948911,0.690404017948911
Acmena smithii,1,0.428358208955224,0.845370845842226,0.792955826999264,0.845370845842226,0.845370845842226
Acmena smithii,15,0.187444739168877,0.845370845842226,0.779852611498105,0.845370845842226,0.845370845842226
Alphitonia excelsa,13,0.174107142857143,0.851567285069125,0.785984654528656,0.851567285069125,0.851567285069125
Angophora subvelutina,12,0.0846228239845261,0.81129053057459,0.798231484858171,0.81129053057459,0.81129053057459
Backhousia myrtifolia,5,0.293966623876765,0.905571495796991,0.828204953523372,0.905571495796991,0.905571495796991
Callistemon subulatus,6,0.0396039603960396,0.826438140455775,0.813336687975664,0.826438140455775,0.826438140455775
Casuarina cunninghamiana,4,0.509554140127389,0.782432484627268,0.782482800310845,0.782432484627268,0.782432484627268
Casuarina cunninghamiana,5,0.256739409499358,0.782432484627268,0.828204953523372,0.782432484627268,0.782432484627268
Casuarina cunninghamiana,6,0.378712871287129,0.782432484627268,0.813336687975664,0.782432484627268,0.782432484627268
Casuarina cunninghamiana,11,0.551948051948052,0.782432484627268,0.818268580171498,0.782432484627268,0.782432484627268
Casuarina cunninghamiana,12,0.193423597678917,0.782432484627268,0.798231484858171,0.782432484627268,0.782432484627268
Casuarina glauca,13,0.154017857142857,0.775505628606266,0.785984654528656,0.775505628606266,0.775505628606266
Ceratopetalum apetalum,1,0.0865671641791045,0.707035402932555,0.792955826999264,0.707035402932555,0.707035402932555
Commersonia fraseri,15,0.194518125552608,0.60974657686616,0.779852611498105,0.60974657686616,0.60974657686616
Coprosma quadrifida,2,0.103585657370518,0.696431213401582,0.796829854958215,0.696431213401582,0.696431213401582
Coprosma quadrifida,3,0.0259067357512953,0.696431213401582,0.777344437322789,0.696431213401582,0.696431213401582
Coprosma quadrifida,8,0.0905660377358491,0.696431213401582,0.703669934675769,0.696431213401582,0.696431213401582
Coprosma quadrifida,9,0.210382513661202,0.696431213401582,0.746974623198116,0.696431213401582,0.696431213401582
Coprosma quadrifida,10,0.150523560209424,0.696431213401582,0.771630836451227,0.696431213401582,0.696431213401582
Cryptocarya glaucescens,1,0.0507462686567164,0.704516672620315,0.792955826999264,0.704516672620315,0.704516672620315
Dodonaea viscosa subsp. cuneata,14,0.0520059435364042,0.973104310955408,0.798976182734491,0.973104310955408,0.973104310955408
Doryphora sassafras,1,0.073134328358209,0.706322636618706,0.792955826999264,0.706322636618706,0.706322636618706
Duboisia myoporoides,13,0.0647321428571428,0.643762913656883,0.785984654528656,0.643762913656883,0.643762913656883
Eucalyptus amplifolia,11,0.324675324675325,0.886436327098568,0.818268580171498,0.886436327098568,0.886436327098568
Eucalyptus camphora subsp. humeana,8,0.358490566037736,0.706874352342763,0.703669934675769,0.706874352342762,0.706874352342763
Eucalyptus camphora subsp. humeana,9,0.0382513661202186,0.706874352342763,0.746974623198116,0.706874352342762,0.706874352342763
