"species"	"maxheight"
"Abrophyllum ornans"	8
"Acmena smithii"	5
"Acmena smithii"	5
"Adiantum hispidulum"	0.7
"Carex longebrachiata"	0.8
"Carex longebrachiata"	0.8
"Ceratopetalum apetalum"	25
"Cryptocarya glaucescens"	35
"Doodia aspera"	0.5
"Doodia aspera"	0.5
"Doodia aspera"	0.5
"Doodia aspera"	0.5
"Doryphora sassafras"	35
"Guioa semiglauca"	6
"Gymnostachys anceps"	1.5
"Gymnostachys anceps"	1.5
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Pittosporum spinescens"	8
"Tristaniopsis laurina"	30
"Tristaniopsis laurina"	30
"Tristaniopsis laurina"	30
"Waterhousea floribunda"	30
"Adiantum aethiopicum"	0.5
"Adiantum aethiopicum"	0.5
"Adiantum aethiopicum"	0.5
"Adiantum aethiopicum"	0.5
"Blechnum nudum"	1
"Blechnum nudum"	1
"Blechnum nudum"	1
"Blechnum nudum"	1
"Carex polyantha"	0.8
"Coprosma quadrifida"	4
"Coprosma quadrifida"	4
"Coprosma quadrifida"	4
"Coprosma quadrifida"	4
"Coprosma quadrifida"	4
"Doodia aspera"	0.5
"Doodia aspera"	0.5
"Doodia aspera"	0.5
"Doodia aspera"	0.5
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Tristaniopsis laurina"	30
"Tristaniopsis laurina"	30
"Tristaniopsis laurina"	30
"Acacia melanoxylon"	30
"Acacia melanoxylon"	30
"Acacia melanoxylon"	30
"Adiantum aethiopicum"	0.5
"Adiantum aethiopicum"	0.5
"Adiantum aethiopicum"	0.5
"Adiantum aethiopicum"	0.5
"Anagallis arvensis"	0.3
"Blechnum nudum"	1
"Blechnum nudum"	1
"Blechnum nudum"	1
"Blechnum nudum"	1
"Calochlaena dubia"	1.5
"Calochlaena dubia"	1.5
"Calochlaena dubia"	1.5
"Calochlaena dubia"	1.5
"Coprosma quadrifida"	4
"Coprosma quadrifida"	4
"Coprosma quadrifida"	4
"Coprosma quadrifida"	4
"Coprosma quadrifida"	4
"Eucalyptus viminalis"	30
"Eucalyptus viminalis"	30
"Eucalyptus viminalis"	30
"Leptospermum brevipes"	4
"Leptospermum brevipes"	4
"Leptospermum brevipes"	4
"Leptospermum brevipes"	4
"Leptospermum brevipes"	4
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Poa meionectes"	0.7
"Poa meionectes"	0.7
"Pomaderris aspera"	4
"Pomaderris aspera"	4
"Pomaderris aspera"	4
"Pomaderris aspera"	4
"Pomaderris aspera"	4
"Pteridium esculentum"	1.5
"Pteridium esculentum"	1.5
"Pteridium esculentum"	1.5
"Pteridium esculentum"	1.5
"Pteridium esculentum"	1.5
"Pteridium esculentum"	1.5
"Acacia floribunda"	8
"Acacia floribunda"	8
"Acacia floribunda"	8
"Acacia floribunda"	8
"Acacia floribunda"	8
"Asplenium flabellifolium"	0.2
"Carex longebrachiata"	0.8
"Carex longebrachiata"	0.8
"Cassinia trinerva"	8
"Casuarina cunninghamiana"	35
"Casuarina cunninghamiana"	35
"Casuarina cunninghamiana"	35
"Casuarina cunninghamiana"	35
"Casuarina cunninghamiana"	35
"Dichondra repens"	0.2
"Dichondra repens"	0.2
"Dichondra repens"	0.2
"Doodia aspera"	0.5
"Doodia aspera"	0.5
"Doodia aspera"	0.5
"Doodia aspera"	0.5
"Eucalyptus cypellocarpa"	50
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
"Lomatia myricoides"	5
"Lomatia myricoides"	5
"Lomatia myricoides"	5
"Melicytus dentatus"	4
"Melicytus dentatus"	4
"Melicytus dentatus"	4
"Melicytus dentatus"	4
"Microlaena stipoides"	0.7
"Microlaena stipoides"	0.7
"Microlaena stipoides"	0.7
"Microlaena stipoides"	0.7
"Microlaena stipoides"	0.7
"Microlaena stipoides"	0.7
"Oplismenus aemulus"	0.3
"Oplismenus aemulus"	0.3
"Oplismenus aemulus"	0.3
"Oplismenus aemulus"	0.3
"Pellaea falcata"	1.1
"Pteridium esculentum"	1.5
"Pteridium esculentum"	1.5
"Pteridium esculentum"	1.5
"Pteridium esculentum"	1.5
"Pteridium esculentum"	1.5
"Pteridium esculentum"	1.5
"Stellaria flaccida"	0.2
"Stellaria flaccida"	0.2
"Acacia floribunda"	8
"Acacia floribunda"	8
"Acacia floribunda"	8
"Acacia floribunda"	8
"Acacia floribunda"	8
"Austrostipa ramosissima"	2.5
"Backhousia myrtifolia"	30
"Casuarina cunninghamiana"	35
"Casuarina cunninghamiana"	35
"Casuarina cunninghamiana"	35
"Casuarina cunninghamiana"	35
"Casuarina cunninghamiana"	35
"Dichondra repens"	0.2
"Dichondra repens"	0.2
"Dichondra repens"	0.2
"Entolasia stricta"	0.8
"Eucalyptus elata"	30
"Lepidosperma laterale"	1
"Lepidosperma laterale"	1
"Lomandra longifolia"	1
"Lomandra longifolia"	1
