species,plot,abund,log_seedmass.exp,log_seedmass
Abrophyllum ornans,1,0.111975116640747,-1.30102999566398,-1.30102999566398
Acacia boormanii,7,0.173228346456693,1.12254352406875,1.12254352406875
Acacia falciformis,14,0.00999167360532889,1.63144376901317,1.63144376901317
Acacia floribunda,4,0.135785007072136,0.850033257689769,0.850033257689769
Acacia floribunda,5,0.0888888888888889,0.850033257689769,0.850033257689769
Acacia floribunda,6,0.162790697674419,0.850033257689769,0.850033257689769
Acacia floribunda,12,0.0118577075098814,0.850033257689769,0.850033257689769
Acacia floribunda,13,0.0240825688073395,0.850033257689769,0.850033257689769
Acacia implexa,14,0.0308076602830974,1.30813737863804,1.30813737863804
Acacia leiocalyx subsp. leiocalyx,13,0.0481651376146789,1.02978947083186,1.02978947083186
Acacia mearnsii,6,0.0295983086680761,1.12057393120585,1.12057393120585
Acacia melanoxylon,3,0.0590128755364807,1.16494737262184,1.16494737262184
Acacia melanoxylon,7,0.015748031496063,1.16494737262184,1.16494737262184
Acacia melanoxylon,8,0.117944397641112,1.16494737262184,1.16494737262184
Acacia pravissima,14,0.374687760199833,0.924279286061882,0.924279286061882
Acaena novae-zelandiae,8,0.0185341196293176,0.20682587603185,0.20682587603185
Acmena smithii,1,0.446345256609642,1.90859223884757,1.90859223884757
Acmena smithii,15,0.172077922077922,1.90859223884757,1.90859223884757
Alphitonia excelsa,13,0.134174311926606,1.26007138798507,1.26007138798507
Anagallis arvensis,3,0.0236051502145923,-0.301029995663981,-0.301029995663981
Angophora subvelutina,12,0.0373891678239504,0.860936620700094,0.860936620700094
Astroloma humifusum,6,0.0317124735729387,1.78929861115944,1.78929861115944
Backhousia myrtifolia,5,0.195726495726496,1.11427729656159,1.11427729656159
Bedfordia arborescens,9,0.0405014464802314,-0.130768280269024,-0.130768280269024
Beyeria viscosa,7,0.0813648293963255,1.50704587242733,1.50704587242733
Bidens pilosa,11,0.0097629009762901,0.322219294733919,0.322219294733919
Bidens pilosa,12,0.0106826193782716,0.322219294733919,0.322219294733919
Bidens subalternans,11,0.0264993026499303,0.550228353055094,0.550228353055094
Callistemon subulatus,6,0.0338266384778013,-1.39794000867204,-1.39794000867204
