species,Nplots,mean.abund,ts,betaT,alphaT,Rs,slopeN,b.inter,bs,bs.se,bs.p,u.inter,us,us.se,us.p,min.tp,max.tp,min.tval,max.tval,low.bound,hi.bound
Abrophyllum ornans,1,0.111975116640747,-1.30102999566398,1.26297358450564,-2.56400358016962,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.26297358450564,1.26297358450564,-1.30102999566398,-1.30102999566398,0,1
Acacia boormanii,1,0.173228346456693,1.12254352406875,0.687570923634871,0.434972600433883,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.687570923634871,0.687570923634871,1.12254352406875,1.12254352406875,0,0
Acacia falciformis,1,0.00999167360532889,1.63144376901317,0.532900742865465,1.09854302614771,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.532900742865465,0.532900742865465,1.63144376901317,1.63144376901317,0,0
Acacia floribunda,5,0.084680973990533,0.850033257689769,0.280099119598176,0.569934138091593,0.696401599505177,5,0.850033257689769,-2.1720869935589e-16,1.73784659552415e-16,0.299969933929283,0.850033257689769,-2.60568314292382e-17,2.57279903994696e-16,0.925719089975824,-0.012202068739995,0.684199530765182,0.850033257689769,0.850033257689769,0,0
Acacia implexa,1,0.0308076602830974,1.30813737863804,0.532900742865465,0.775236635772573,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.532900742865465,0.532900742865465,1.30813737863804,1.30813737863804,0,0
Acacia leiocalyx subsp. leiocalyx,1,0.0481651376146789,1.02978947083186,0.411329674022219,0.618459796809637,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.411329674022219,0.411329674022219,1.02978947083186,1.02978947083186,0,0
Acacia mearnsii,1,0.0295983086680761,1.12057393120585,-0.012202068739995,1.13277599994584,0,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.012202068739995,-0.012202068739995,1.12057393120585,1.12057393120585,0,0
Acacia melanoxylon,3,0.0642351015578852,1.16494737262184,0.116450114432757,1.04849725818908,0.62373214996384,3,1.16494737262184,3.66027124719245e-16,6.09517541531548e-17,0.105047616361473,1.16494737262184,-6.11215263791438e-16,1.07714653333134e-15,0.671419118411829,0.063838773671031,0.687570923634871,1.16494737262184,1.16494737262184,0,0
Acacia pravissima,1,0.374687760199833,0.924279286061882,0.532900742865465,0.391378543196417,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.532900742865465,0.532900742865465,0.924279286061882,0.924279286061882,0,0
Acaena novae-zelandiae,1,0.0185341196293176,0.20682587603185,0.063838773671031,0.142987102360819,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.063838773671031,0.063838773671031,0.20682587603185,0.20682587603185,0,0
Acmena smithii,2,0.309211589343782,1.90859223884757,1.14539812780276,0.763194111044805,0.422549196269992,2,1.90859223884757,0,NA,1,1.90859223884757,-7.43152500368524e-16,NA,1,0.840424388235651,1.26297358450564,1.90859223884757,1.90859223884757,0,1
Alphitonia excelsa,1,0.134174311926606,1.26007138798507,0.411329674022219,0.848741713962856,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.411329674022219,0.411329674022219,1.26007138798507,1.26007138798507,0,0
Anagallis arvensis,1,0.0236051502145923,-0.301029995663981,0.0691923665127331,-0.370222362176714,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0691923665127331,0.0691923665127331,-0.301029995663981,-0.301029995663981,0,0
Angophora subvelutina,1,0.0373891678239504,0.860936620700094,0.381873683641377,0.479062937058717,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.381873683641377,0.381873683641377,0.860936620700094,0.860936620700094,0,0
Astroloma humifusum,1,0.0317124735729387,1.78929861115944,-0.012202068739995,1.80150067989944,0,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.012202068739995,-0.012202068739995,1.78929861115944,1.78929861115944,0,0
Backhousia myrtifolia,1,0.195726495726496,1.11427729656159,0.684199530765182,0.430077765796404,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.684199530765182,0.684199530765182,1.11427729656159,1.11427729656159,0,0
Bedfordia arborescens,1,0.0405014464802314,-0.130768280269024,0.102462774055242,-0.233231054324266,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.102462774055242,0.102462774055242,-0.130768280269024,-0.130768280269024,0,0
Beyeria viscosa,1,0.0813648293963255,1.50704587242733,0.687570923634871,0.819474948792455,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.687570923634871,0.687570923634871,1.50704587242733,1.50704587242733,0,0
Bidens pilosa,2,0.0102227601772809,0.322219294733919,0.47078485654059,-0.148565561806671,0.186198262142939,2,0.322219294733919,-5.2177754908514e-16,NA,1,0.32221929473392,-8.43236902758235e-16,NA,1,0.381873683641377,0.568071945784316,0.322219294733919,0.322219294733919,0,0
Bidens subalternans,1,0.0264993026499303,0.550228353055094,0.568071945784316,-0.0178435927292216,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.568071945784316,0.568071945784316,0.550228353055094,0.550228353055094,0,0
