"plot"	"species"	"abund"	"seedmass"
1	"Abrophyllum ornans"	0.111975116640747	0.05
1	"Acmena smithii"	0.446345256609642	81.02
1	"Carex longebrachiata"	0.0124416796267496	1.38
1	"Ceratopetalum apetalum"	0.0902021772939347	17.09
1	"Cryptocarya glaucescens"	0.0528771384136858	323.99
1	"Doryphora sassafras"	0.0762052877138414	11
1	"Eustrephus latifolius"	0.0139968895800933	13.72
1	"Guioa semiglauca"	0.00933125972006221	41
1	"Gymnostachys anceps"	0.00933125972006221	228.6
1	"Lomandra longifolia"	0.031104199066874	11.33
1	"Pittosporum spinescens"	0.0139968895800933	7.54
1	"Tristaniopsis laurina"	0.132192846034215	10.26
2	"Lomandra longifolia"	0.00911854103343465	11.33
2	"Tristaniopsis laurina"	0.683890577507599	10.26
2	"Carex polyantha"	0.227963525835866	1.25
2	"Coprosma quadrifida"	0.0790273556231003	10.57
3	"Lomandra longifolia"	0.148068669527897	11.33
3	"Coprosma quadrifida"	0.0214592274678112	10.57
3	"Acacia melanoxylon"	0.0590128755364807	14.62
3	"Anagallis arvensis"	0.0236051502145923	0.5
3	"Eucalyptus viminalis"	0.311158798283262	1.28
3	"Leptospermum brevipes"	0.164163090128755	0.15
3	"Pomaderris aspera"	0.272532188841202	0.56
4	"Carex longebrachiata"	0.0452616690240453	1.38
4	"Lomandra longifolia"	0.049033474776049	11.33
4	"Acacia floribunda"	0.135785007072136	7.08
4	"Cassinia trinerva"	0.0188590287600189	0.18
4	"Casuarina cunninghamiana"	0.339462517680339	0.63
4	"Dichondra repens"	0.016030174446016	1.45
4	"Eucalyptus cypellocarpa"	0.0754361150400754	7.09
4	"Lomatia myricoides"	0.0179160773220179	6.45
4	"Melicytus dentatus"	0.115511551155116	11.57
4	"Microlaena stipoides"	0.0697784064120698	4.97
4	"Oplismenus aemulus"	0.105610561056106	0.88
4	"Stellaria flaccida"	0.0113154172560113	0.42
5	"Lomandra longifolia"	0.0247863247863248	11.33
